Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
D126-CPX-2,2.23,1.9,0.11,0.03,0.77,0,0.24,0.91,0,0.03,0.01,4.02,78.9,South BBC
D126-CPX-3,2.29,1.92,0.09,0.03,0.8,0,0.24,0.95,0,0,0.01,4.05,79.7,South BBC
Average,2.25,1.91,0.11,0.03,0.77,0.01,0.24,0.92,0,0.02,0.01,4.03,79.2,South BBC
E161-CPX-1,2.29,1.87,0.12,0.03,0.79,0.01,0.23,0.97,0,0.02,0.01,4.06,80.8,South BBC
E161-CPX-2,2.24,1.92,0.08,0.03,0.79,0.01,0.21,0.97,0,0.02,0.01,4.04,82.1,South BBC
E161-CPX-3,2.26,1.9,0.09,0.03,0.8,0,0.24,0.93,0,0.03,0.01,4.04,79.7,South BBC
Average,2.26,1.9,0.1,0.03,0.8,0.01,0.23,0.96,0,0.02,0.01,4.04,80.9,South BBC
D314-CPX-1,2.27,1.88,0.11,0.03,0.79,0,0.3,0.89,0,0.04,0.01,4.04,74.9,South BBC
D314-CPX-2,2.29,1.88,0.1,0.03,0.79,0,0.3,0.89,0,0.03,0.01,4.05,74.7,South BBC
D314-CPX-3,2.28,1.89,0.11,0.03,0.8,0,0.28,0.88,0,0.03,0.01,4.04,76.2,South BBC
D314-CPX-4,2.25,1.92,0.09,0.03,0.73,0,0.34,0.88,0,0.02,0.01,4.03,72.3,South BBC
D314-CPX-5,2.25,1.9,0.11,0.03,0.79,0,0.29,0.88,0,0.03,0.01,4.03,75.1,South BBC
Average,2.27,1.9,0.1,0.03,0.78,0,0.3,0.88,0,0.03,0.01,4.04,74.6,South BBC
D246-CPX-1,2.25,1.92,0.1,0.03,0.81,0,0.28,0.84,0,0.02,0.01,4.02,75.4,South BBC
D246-CPX-2,2.26,1.92,0.09,0.03,0.81,0.01,0.25,0.9,0,0.02,0.01,4.03,78.6,South BBC
D246-CPX-3,2.28,1.89,0.1,0.03,0.74,0,0.32,0.91,0,0.03,0.01,4.04,74,South BBC
D246-CPX-4,2.24,1.93,0.1,0.03,0.8,0.01,0.24,0.89,0,0.02,0.01,4.02,78.7,South BBC
D246-CPX-5,2.27,1.91,0.08,0.03,0.74,0,0.31,0.94,0,0.02,0.01,4.05,75.3,South BBC
D246-CPX-6,2.28,1.89,0.11,0.03,0.76,0,0.31,0.89,0,0.04,0.01,4.03,74.3,South BBC
D246-CPX-7,2.26,1.92,0.09,0.03,0.77,0,0.3,0.88,0,0.03,0.01,4.02,74.9,South BBC
Average,2.26,1.91,0.1,0.03,0.77,0,0.28,0.89,0,0.03,0.01,4.03,75.9,South BBC
B326-CPX-1,2.25,1.91,0.09,0.03,0.72,0,0.35,0.88,0,0.03,0.01,4.03,71.4,South BBC
B326-CPX-2,2.26,1.9,0.12,0.03,0.74,0.01,0.29,0.9,0,0.02,0.01,4.03,75.7,South BBC
B326-CPX-3,2.27,1.91,0.09,0.04,0.71,0,0.4,0.84,0,0.03,0.01,4.03,68,South BBC
B326-CPX-4,2.29,1.89,0.1,0.03,0.73,0,0.38,0.83,0,0.04,0.01,4.03,68.6,South BBC
B326-CPX-5,2.27,1.91,0.09,0.03,0.7,0,0.39,0.85,0,0.04,0.01,4.02,68.8,South BBC
Average,2.27,1.91,0.1,0.03,0.72,0,0.36,0.86,0,0.03,0.01,4.03,70.5,South BBC
A376-CPX-1,2.31,1.88,0.15,0.02,0.76,0.02,0.3,0.85,0,0.03,0.01,4.02,73.7,South BBC
A376-CPX-2,2.29,1.87,0.15,0.03,0.76,0.02,0.31,0.84,0,0.03,0.01,4.02,73.3,South BBC
A376-CPX-3,2.31,1.9,0.11,0.03,0.64,0,0.47,0.82,0,0.04,0.01,4.02,63.7,South BBC
A376-CPX-4,2.31,1.88,0.14,0.02,0.79,0.02,0.29,0.84,0,0.03,0.01,4.02,74.6,South BBC
A376-CPX-5,2.32,1.87,0.17,0.02,0.79,0.03,0.28,0.81,0,0.03,0.01,4.01,74.3,South BBC
Average,2.31,1.88,0.14,0.02,0.75,0.02,0.33,0.83,0,0.03,0.01,4.02,71.9,South BBC
A290B-CPX-1,2.29,1.94,0.07,0.02,0.71,0,0.33,0.92,0,0.02,0.01,4.02,73.4,South BBC
A290B-CPX-2,2.25,1.89,0.11,0.02,0.8,0.01,0.3,0.87,0,0.03,0,4.04,74.2,South BBC
A290B-CPX-3,2.26,1.93,0.07,0.02,0.75,0.01,0.29,0.93,0,0.02,0.01,4.02,76.3,South BBC
Average,2.27,1.92,0.08,0.02,0.75,0.01,0.31,0.9,0,0.02,0.01,4.03,74.6,South BBC
E217-CPX-1,2.24,1.91,0.1,0.03,0.74,0,0.33,0.85,0,0.03,0.01,4.02,71.9,South BBC
E217-CPX-2,2.27,1.89,0.12,0.03,0.75,0,0.32,0.87,0,0.04,0.01,4.03,73.1,South BBC
E217-CPX-3,2.28,1.88,0.11,0.03,0.79,0,0.3,0.88,0,0.03,0.01,4.04,74.6,South BBC
E217-CPX-4,2.25,1.91,0.09,0.03,0.75,0,0.33,0.86,0,0.03,0.01,4.03,72.3,South BBC
Average,2.26,1.9,0.11,0.03,0.76,0,0.32,0.87,0,0.03,0.01,4.03,73,South BBC
