Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
KP101-CPX-2,2.24,1.99,0.07,0.02,0.65,0,0.4,0.79,0,0.03,0.01,3.96,66.4,Keweenaw
KP101-CPX-3,2.26,2.02,0.02,0,0.14,0,0.74,0.99,0,0.01,0.02,3.95,57.3,Keweenaw
KP101-CPX-4,2.23,1.96,0.09,0.02,0.71,0,0.34,0.82,0,0.04,0,3.97,70.6,Keweenaw
KP101-CPX-5,2.24,2,0.05,0.02,0.66,0,0.4,0.8,0,0.02,0.01,3.96,66.5,Keweenaw
KP101-CPX-6,2.26,1.99,0.06,0.02,0.62,0,0.48,0.77,0,0.02,0.02,3.97,61.7,Keweenaw
KP101-CPX-7,2.25,2.01,0.05,0.02,0.69,0,0.41,0.74,0,0.02,0.01,3.96,64.4,Keweenaw
KP101-CPX-8,2.24,1.99,0.07,0.02,0.66,0,0.4,0.79,0,0.03,0.01,3.96,66.3,Keweenaw
KP101-CPX-9,2.28,2.02,0.02,0,0.2,0,0.76,0.94,0,0.01,0.02,3.96,55.1,Keweenaw
KP101-CPX-10,2.24,1.97,0.08,0.02,0.7,0,0.37,0.78,0,0.03,0.01,3.97,67.5,Keweenaw
Average,2.25,1.99,0.06,0.02,0.57,0,0.47,0.82,0,0.02,0.01,3.96,64.2,Keweenaw
KP108-CPX-1,2.28,1.93,0.05,0.02,0.75,0,0.44,0.82,0,0.02,0.01,4.04,64.9,Keweenaw
KP108-CPX-2,2.3,1.86,0.08,0,0.9,0,0.4,0.78,0,0.03,0.01,4.07,65.7,Keweenaw
KP108-CPX-3,2.31,1.9,0.07,0.02,0.8,0,0.49,0.72,0,0.03,0.01,4.05,59.5,Keweenaw
KP108-CPX-4,2.3,1.91,0.06,0.03,0.73,0,0.48,0.79,0,0.03,0.01,4.05,62,Keweenaw
KP108-CPX-5,2.3,1.86,0.08,0,0.9,0,0.4,0.78,0,0.03,0.01,4.07,65.7,Keweenaw
KP108-CPX-6,2.27,1.89,0.08,0.02,0.72,0,0.4,0.89,0,0.03,0.01,4.04,69.1,Keweenaw
KP108-CPX-7,2.25,1.91,0.07,0.03,0.73,0,0.36,0.89,0,0.03,0.01,4.04,71.3,Keweenaw
KP108-CPX-8,2.26,1.92,0.06,0.02,0.72,0,0.46,0.8,0,0.03,0,4.02,63.4,Keweenaw
KP108-CPX-9,2.23,2.02,0.03,0,0.14,0,0.64,1.09,0,0.01,0.02,3.96,63,Keweenaw
KP108-CPX-10,2.29,1.92,0.07,0.02,0.68,0,0.5,0.81,0,0.03,0.01,4.03,62,Keweenaw
Average,2.28,1.91,0.07,0.02,0.71,0,0.46,0.84,0,0.03,0.01,4.03,64.7,Keweenaw
KP111A-CPX-1,2.25,2,0.06,0.03,0.69,0,0.42,0.75,0,0.02,0,3.97,64,Keweenaw
KP111A-CPX-2,2.27,2.03,0.1,0.02,0.77,0,0.47,0.49,0,0.02,0,3.91,50.9,Keweenaw
KP111A-CPX-3,2.26,2.05,0.07,0,0.75,0,0.49,0.51,0,0.02,0,3.9,50.8,Keweenaw
KP111A-CPX-4,2.27,2.04,0.08,0.02,0.78,0,0.48,0.48,0,0.03,0,3.9,49.7,Keweenaw
KP111A-CPX-5,2.27,2.05,0.08,0.02,0.78,0,0.48,0.47,0,0.02,0.01,3.91,49.5,Keweenaw
KP111A-CPX-6,2.26,2,0.06,0.02,0.71,0,0.43,0.69,0,0.03,0.01,3.96,61.7,Keweenaw
KP111A-CPX-7,2.27,2.03,0.09,0.02,0.76,0,0.49,0.49,0,0.02,0.01,3.91,50.1,Keweenaw
KP111A-CPX-8,2.27,2.03,0.08,0.02,0.77,0.01,0.48,0.47,0,0.02,0,3.91,49.4,Keweenaw
KP111A-CPX-9,2.27,2.04,0.08,0.03,0.77,0,0.48,0.49,0,0.02,0.01,3.92,50.8,Keweenaw
KP111A-CPX-10,2.27,2.03,0.08,0.03,0.77,0,0.47,0.5,0,0.03,0.01,3.92,51.8,Keweenaw
KP111A-CPX-11,2.26,2.05,0.08,0.02,0.78,0,0.47,0.47,0,0.02,0,3.9,49.6,Keweenaw
KP111A-CPX-12,2.28,2.03,0.08,0.04,0.77,0,0.5,0.48,0,0.02,0,3.92,49,Keweenaw
Average,2.27,2.03,0.08,0.02,0.76,0,0.47,0.53,0,0.02,0,3.92,52.3,Keweenaw
KP111B-CPX-1,2.25,2.01,0.05,0.03,0.7,0,0.43,0.71,0,0.03,0.01,3.96,62.6,Keweenaw
KP111B-CPX-2,2.21,1.98,0.08,0.02,0.75,0.01,0.27,0.84,0,0.02,0,3.96,75.3,Keweenaw
KP111B-CPX-3,2.25,2.02,0.06,0.02,0.68,0,0.43,0.71,0,0.02,0.01,3.94,62.5,Keweenaw
KP111B-CPX-4,2.26,2.03,0.1,0.02,0.75,0,0.48,0.5,0,0.03,0,3.91,50.9,Keweenaw
KP111B-CPX-5,2.26,2.01,0.05,0.02,0.67,0,0.46,0.72,0,0.02,0.01,3.96,60.7,Keweenaw
KP111B-CPX-6,2.26,1.98,0.13,0.02,0.73,0,0.44,0.58,0,0.04,0,3.93,56.8,Keweenaw
KP111B-CPX-7,2.27,2.04,0.08,0.02,0.77,0.01,0.48,0.48,0,0.03,0.01,3.9,50.2,Keweenaw
KP111B-CPX-8,2.22,1.8,0.47,0.03,0.65,0,0.34,0.62,0,0.02,0.01,3.95,64.3,Keweenaw
KP111B-CPX-9,2.21,1.96,0.11,0.02,0.76,0,0.26,0.82,0,0.03,0.01,3.97,75.9,Keweenaw
Average,2.24,1.98,0.12,0.02,0.72,0,0.4,0.66,0,0.03,0.01,3.94,62.1,Keweenaw
KP111C-CPX-1,2.23,1.98,0.08,0.03,0.74,0,0.33,0.78,0,0.03,0,3.97,70.3,Keweenaw
KP111C-CPX-2,2.23,1.98,0.07,0.02,0.74,0,0.33,0.79,0,0.03,0.01,3.97,70.4,Keweenaw
KP111C-CPX-3,2.21,1.99,0.08,0.01,0.76,0,0.28,0.82,0,0.02,0.01,3.96,74.5,Keweenaw
KP111C-CPX-4,2.21,1.98,0.08,0.02,0.75,0,0.29,0.81,0,0.02,0,3.96,73.8,Keweenaw
KP111C-CPX-5,2.24,1.97,0.07,0.04,0.71,0,0.37,0.78,0,0.03,0.01,3.98,67.6,Keweenaw
KP111C-CPX-6,2.26,1.99,0.06,0.02,0.67,0,0.44,0.74,0,0.03,0.01,3.96,62.5,Keweenaw
KP111C-CPX-7,2.23,1.97,0.07,0.01,0.75,0.01,0.33,0.79,0,0.03,0.01,3.97,70.6,Keweenaw
KP111C-CPX-8,2.25,1.98,0.06,0.04,0.71,0,0.39,0.76,0,0.03,0.01,3.98,66.3,Keweenaw
Average,2.23,1.98,0.07,0.02,0.73,0,0.35,0.78,0,0.03,0.01,3.97,69.5,Keweenaw
KP114-CPX-1,2.28,1.92,0.06,0.01,0.75,0,0.42,0.82,0,0.02,0.02,4.03,65.9,Keweenaw
KP114-CPX-2,2.27,1.91,0.07,0.02,0.77,0,0.38,0.83,0,0.04,0.01,4.03,68.6,Keweenaw
KP114-CPX-3,2.27,1.91,0.07,0.02,0.75,0,0.41,0.85,0,0.03,0,4.04,67.4,Keweenaw
KP114-CPX-4,2.29,1.91,0.06,0.02,0.7,0,0.49,0.82,0,0.03,0.01,4.04,62.5,Keweenaw
KP114-CPX-5,2.29,1.92,0.06,0,0.72,0,0.47,0.81,0,0.03,0.02,4.03,63.3,Keweenaw
KP114-CPX-6,2.28,1.91,0.06,0.02,0.74,0,0.43,0.85,0,0.03,0,4.04,66.1,Keweenaw
KP114-CPX-7,2.27,1.91,0.08,0.02,0.75,0,0.41,0.82,0,0.04,0,4.02,67,Keweenaw
KP114-CPX-8,2.27,1.9,0.08,0.02,0.74,0,0.43,0.81,0,0.04,0,4.03,65.4,Keweenaw
Average,2.28,1.91,0.07,0.02,0.74,0,0.43,0.83,0,0.03,0.01,4.03,65.8,Keweenaw
IR1-CPX-1,2.27,2.02,0.11,0.02,0.74,0.02,0.5,0.47,0,0.02,0,3.9,48.9,Isle Royale
IR1-CPX-2,2.25,1.98,0.06,0,0.72,0,0.39,0.76,0,0.03,0.01,3.95,66.2,Isle Royale
IR1-CPX-3,2.26,2.03,0.07,0.01,0.76,0,0.46,0.55,0,0.02,0,3.92,54.6,Isle Royale
IR1-CPX-4,2.26,2.02,0.07,0.02,0.74,0,0.45,0.61,0,0.02,0,3.93,57.6,Isle Royale
IR1-CPX-5,2.27,2.05,0.06,0.02,0.78,0.01,0.5,0.46,0,0.02,0,3.9,48,Isle Royale
IR1-CPX-6,2.26,2.03,0.07,0.02,0.77,0,0.46,0.55,0,0.02,0,3.92,54.3,Isle Royale
IR1-CPX-7,2.25,1.99,0.06,0.02,0.73,0,0.4,0.72,0,0.03,0.02,3.96,64.5,Isle Royale
IR1-CPX-8,2.27,2.02,0.09,0.03,0.77,0,0.48,0.51,0,0.03,0,3.93,51.6,Isle Royale
IR1-CPX-9,2.27,2.03,0.07,0.02,0.76,0,0.46,0.55,0,0.02,0.01,3.92,54.1,Isle Royale
IR1-CPX-10,2.28,1.99,0.04,0.02,0.69,0,0.5,0.7,0,0.02,0.01,3.98,58.5,Isle Royale
Average,2.26,2.02,0.07,0.02,0.74,0,0.46,0.59,0,0.02,0.01,3.93,55.8,Isle Royale
IR3-CPX-1,2.25,1.99,0.06,0.02,0.7,0,0.4,0.76,0,0.03,0.01,3.96,65.5,Isle Royale
IR3-CPX-2,2.24,1.98,0.07,0.03,0.7,0,0.38,0.77,0,0.03,0.01,3.97,66.8,Isle Royale
IR3-CPX-3,2.24,1.98,0.07,0.03,0.7,0,0.38,0.77,0,0.03,0.01,3.97,66.8,Isle Royale
IR3-CPX-4,2.25,1.98,0.06,0.02,0.7,0,0.4,0.76,0,0.03,0.01,3.97,65.9,Isle Royale
IR3-CPX-5,2.25,2.01,0.05,0.02,0.7,0,0.43,0.72,0,0.02,0,3.95,62.6,Isle Royale
IR3-CPX-6,2.24,1.98,0.06,0.02,0.71,0,0.38,0.77,0,0.03,0.01,3.97,67.3,Isle Royale
IR3-CPX-7,2.24,1.99,0.06,0.02,0.69,0,0.4,0.76,0,0.02,0.01,3.96,65.5,Isle Royale
IR3-CPX-8,2.24,1.99,0.06,0.02,0.7,0,0.38,0.76,0,0.03,0.01,3.96,66.5,Isle Royale
IR3-CPX-9,2.27,2.01,0.08,0.02,0.75,0,0.46,0.57,0.01,0.02,0.01,3.94,55.1,Isle Royale
IR3-CPX-10,2.26,2.03,0.08,0.02,0.73,0,0.47,0.56,0,0.02,0,3.91,54.2,Isle Royale
Average,2.25,2,0.07,0.02,0.71,0,0.41,0.72,0,0.03,0.01,3.96,63.6,Isle Royale
IR6-CPX-1,2.24,1.97,0.08,0.02,0.7,0,0.38,0.78,0,0.03,0,3.97,67.5,Isle Royale
IR6-CPX-2,2.25,1.98,0.07,0.02,0.72,0,0.38,0.75,0,0.03,0.01,3.96,66.1,Isle Royale
IR6-CPX-3,2.26,1.99,0.09,0.02,0.71,0,0.44,0.65,0,0.03,0,3.94,59.7,Isle Royale
IR6-CPX-4,2.26,1.99,0.09,0.02,0.76,0,0.43,0.62,0,0.03,0,3.94,59,Isle Royale
IR6-CPX-5,2.26,1.99,0.05,0.02,0.7,0,0.44,0.72,0,0.03,0.01,3.96,62.3,Isle Royale
IR6-CPX-6,2.26,2.02,0.07,0.02,0.72,0,0.45,0.63,0,0.02,0,3.93,58.5,Isle Royale
IR6-CPX-7,2.26,2,0.05,0.02,0.67,0,0.45,0.73,0,0.02,0.02,3.96,61.8,Isle Royale
IR6-CPX-8,2.28,2,0.04,0.02,0.67,0,0.52,0.68,0,0.02,0.01,3.96,56.5,Isle Royale
IR6-CPX-9,2.26,2,0.05,0.02,0.7,0,0.46,0.71,0,0.02,0.01,3.96,60.5,Isle Royale
IR6-CPX-10,2.27,2,0.04,0.01,0.67,0,0.5,0.7,0,0.02,0.02,3.96,58.4,Isle Royale
Average,2.26,2,0.06,0.02,0.7,0,0.45,0.7,0,0.03,0.01,3.96,61,Isle Royale
IR7A-CPX-1,2.25,1.99,0.06,0.02,0.7,0,0.41,0.75,0,0.03,0.01,3.96,64.7,Isle Royale
IR7A-CPX-2,2.26,2.02,0.07,0.01,0.75,0,0.46,0.59,0,0.02,0.01,3.93,56.5,Isle Royale
IR7A-CPX-3,2.27,1.99,0.05,0.02,0.64,0,0.52,0.71,0,0.03,0.01,3.97,57.8,Isle Royale
IR7A-CPX-4,2.27,1.99,0.05,0.03,0.66,0,0.49,0.7,0,0.03,0.02,3.97,58.9,Isle Royale
IR7A-CPX-5,2.25,1.98,0.06,0.02,0.71,0,0.42,0.74,0,0.03,0.01,3.97,63.8,Isle Royale
IR7A-CPX-6,2.26,2,0.04,0.03,0.69,0,0.48,0.7,0,0.02,0,3.96,59.5,Isle Royale
IR7A-CPX-7,2.26,2.01,0.05,0.02,0.69,0,0.44,0.71,0,0.03,0.02,3.95,61.5,Isle Royale
IR7A-CPX-8,2.26,1.98,0.08,0.03,0.7,0,0.42,0.71,0,0.03,0.01,3.97,62.8,Isle Royale
IR7A-CPX-9,2.23,1.98,0.07,0.02,0.73,0,0.31,0.82,0,0.03,0.01,3.97,72.5,Isle Royale
Average,2.26,1.99,0.06,0.02,0.7,0,0.44,0.72,0,0.03,0.01,3.96,62,Isle Royale
IR7B-CPX-1,2.23,1.99,0.06,0.02,0.66,0,0.39,0.82,0,0.03,0,3.97,67.8,Isle Royale
IR7B-CPX-2,2.2,1.99,0.08,0.01,0.74,0,0.25,0.87,0,0.02,0,3.96,77.9,Isle Royale
IR7B-CPX-3,2.19,1.98,0.09,0.02,0.73,0.01,0.23,0.86,0,0.02,0,3.95,79.1,Isle Royale
IR7B-CPX-4,2.22,1.99,0.07,0.02,0.68,0,0.34,0.85,0,0.03,0,3.96,71.5,Isle Royale
IR7B-CPX-5,2.22,1.96,0.08,0.01,0.73,0,0.31,0.85,0,0.03,0.01,3.98,73.4,Isle Royale
IR7B-CPX-6,2.21,1.97,0.08,0.02,0.69,0,0.31,0.87,0,0.03,0,3.97,73.7,Isle Royale
IR7B-CPX-7,2.22,1.98,0.07,0.01,0.7,0,0.32,0.85,0,0.03,0.01,3.96,72.8,Isle Royale
IR7B-CPX-8,2.2,2,0.06,0.02,0.72,0,0.26,0.89,0,0.02,0.01,3.97,77.1,Isle Royale
Average,2.21,1.98,0.07,0.02,0.7,0,0.3,0.86,0,0.02,0,3.96,74.2,Isle Royale
IR7C-CPX-1,2.35,1.95,0.03,0,0.75,0,0.67,0.58,0,0.02,0.02,4.02,46.3,Isle Royale
IR7C-CPX-2,2.36,1.94,0.04,0.02,0.73,0,0.68,0.57,0,0.03,0.02,4.02,45.3,Isle Royale
IR7C-CPX-3,2.33,1.93,0.04,0.03,0.73,0,0.6,0.65,0,0.03,0.02,4.03,52.1,Isle Royale
IR7C-CPX-4,2.39,1.94,0.03,0.03,0.75,0,0.78,0.45,0,0.03,0.02,4.03,36.6,Isle Royale
IR7C-CPX-5,2.41,1.92,0.04,0.02,0.78,0,0.82,0.42,0,0.02,0.02,4.05,33.6,Isle Royale
IR7C-CPX-6,2.42,1.93,0.04,0.02,0.77,0,0.85,0.38,0,0.03,0.02,4.03,30.5,Isle Royale
IR7C-CPX-7,2.41,1.94,0.04,0.02,0.76,0,0.84,0.38,0,0.03,0.02,4.02,31.5,Isle Royale
IR7C-CPX-8,2.31,1.92,0.06,0.03,0.69,0,0.57,0.73,0,0.02,0.02,4.04,56.2,Isle Royale
IR7C-CPX-9,2.34,1.95,0.05,0,0.71,0,0.66,0.6,0,0.02,0.02,4.01,47.7,Isle Royale
IR7C-CPX-10,2.36,1.93,0.05,0.02,0.74,0,0.69,0.57,0,0.02,0.02,4.03,45.2,Isle Royale
IR7C-CPX-11,2.39,1.92,0.03,0,0.78,0,0.75,0.51,0,0.02,0.02,4.04,40.7,Isle Royale
IR7C-CPX-12,2.38,1.93,0.04,0.02,0.78,0,0.72,0.5,0,0.03,0.01,4.03,40.9,Isle Royale
IR7C-CPX-13,2.34,1.94,0.04,0.02,0.71,0,0.65,0.63,0,0.02,0.01,4.03,49.5,Isle Royale
Average,2.37,1.93,0.04,0.02,0.75,0,0.71,0.54,0,0.02,0.02,4.03,42.8,Isle Royale
IR12-CPX-1,2.22,1.97,0.09,0.02,0.7,0,0.31,0.83,0,0.04,0.01,3.96,72.7,Isle Royale
IR12-CPX-2,2.2,2.02,0.05,0.02,0.69,0,0.28,0.88,0,0.02,0,3.95,76,Isle Royale
IR12-CPX-3,2.23,1.97,0.08,0.03,0.69,0,0.35,0.8,0,0.04,0,3.96,69.9,Isle Royale
IR12-CPX-4,2.22,2.01,0.04,0.01,0.54,0,0.4,0.92,0,0.02,0.01,3.96,69.5,Isle Royale
IR12-CPX-5,2.22,2,0.04,0,0.51,0,0.44,0.95,0,0.02,0.01,3.96,68.6,Isle Royale
IR12-CPX-6,2.23,1.98,0.08,0.03,0.67,0,0.38,0.81,0,0.03,0,3.96,67.9,Isle Royale
IR12-CPX-7,2.21,2,0.06,0.02,0.66,0,0.33,0.87,0,0.02,0.01,3.96,72.8,Isle Royale
Average,2.22,1.99,0.06,0.02,0.64,0,0.35,0.86,0,0.03,0.01,3.96,71,Isle Royale
IR15-CPX-1,2.22,1.98,0.07,0.02,0.71,0,0.3,0.85,0,0.02,0.01,3.97,74.1,Isle Royale
IR15-CPX-2,2.19,1.97,0.1,0.02,0.7,0.02,0.23,0.89,0,0.02,0,3.96,79.2,Isle Royale
IR15-CPX-3,2.23,2,0.06,0.02,0.67,0,0.37,0.81,0,0.03,0.01,3.96,68.8,Isle Royale
IR15-CPX-4,2.22,1.98,0.08,0.02,0.68,0,0.34,0.84,0,0.03,0,3.97,71.4,Isle Royale
IR15-CPX-5,2.23,1.98,0.07,0.03,0.67,0,0.35,0.83,0,0.03,0.01,3.97,70.5,Isle Royale
IR15-CPX-6,2.23,1.97,0.07,0.03,0.7,0,0.35,0.82,0,0.03,0.01,3.98,70.4,Isle Royale
IR15-CPX-7,2.2,2,0.06,0.02,0.73,0,0.26,0.88,0,0.02,0,3.96,77.4,Isle Royale
IR15-CPX-8,2.21,1.98,0.08,0.02,0.72,0,0.27,0.87,0,0.02,0.01,3.97,76.3,Isle Royale
IR15-CPX-9,2.2,1.97,0.1,0.02,0.74,0.02,0.22,0.88,0,0.02,0,3.97,79.8,Isle Royale
IR15-CPX-10,2.23,1.97,0.07,0.03,0.67,0,0.35,0.84,0,0.03,0.01,3.98,70.3,Isle Royale
Average,2.22,1.98,0.08,0.02,0.7,0,0.3,0.85,0,0.02,0.01,3.97,73.8,Isle Royale
IR16-CPX-1,2.25,2,0.07,0.02,0.73,0,0.41,0.69,0,0.03,0,3.95,62.9,Isle Royale
IR16-CPX-2,2.25,2.05,0.07,0.02,0.75,0,0.43,0.57,0,0.02,0.01,3.91,56.9,Isle Royale
IR16-CPX-3,2.24,1.98,0.07,0.02,0.72,0,0.35,0.77,0,0.03,0.01,3.96,68.4,Isle Royale
IR16-CPX-4,2.25,2,0.06,0.01,0.69,0,0.42,0.74,0,0.02,0.01,3.96,63.6,Isle Royale
IR16-CPX-5,2.26,2,0.06,0.02,0.69,0,0.44,0.71,0,0.03,0.01,3.95,61.7,Isle Royale
IR16-CPX-6,2.27,1.99,0.05,0.02,0.69,0,0.47,0.71,0,0.02,0.01,3.97,60.4,Isle Royale
Average,2.25,2,0.07,0.02,0.71,0,0.42,0.7,0,0.02,0.01,3.95,62.3,Isle Royale
IR17-CPX-1,2.38,1.93,0.04,0.02,0.73,0,0.75,0.52,0,0.03,0.02,4.03,40.8,Isle Royale
IR17-CPX-2,2.39,1.94,0.04,0.02,0.76,0,0.76,0.46,0,0.02,0.02,4.03,37.6,Isle Royale
IR17-CPX-3,2.37,1.95,0.03,0.02,0.74,0,0.74,0.5,0,0.02,0.02,4.02,40.5,Isle Royale
IR17-CPX-4,2.34,1.93,0.04,0.02,0.72,0,0.66,0.64,0,0.02,0.01,4.04,49.4,Isle Royale
IR17-CPX-5,2.38,1.94,0.04,0.02,0.75,0,0.77,0.46,0,0.02,0.02,4.02,37.5,Isle Royale
IR17-CPX-6,2.39,1.94,0.03,0,0.76,0,0.79,0.45,0,0.02,0.01,4.02,36.3,Isle Royale
IR17-CPX-7,2.39,1.94,0.03,0,0.76,0,0.79,0.47,0,0.02,0.01,4.02,37.3,Isle Royale
IR17-CPX-8,2.4,1.95,0.04,0.02,0.78,0,0.82,0.38,0,0.02,0.02,4.02,31.4,Isle Royale
IR17-CPX-9,2.39,1.93,0.03,0.02,0.78,0,0.77,0.46,0,0.02,0.02,4.04,37.1,Isle Royale
IR17-CPX-10,2.41,1.93,0.03,0.03,0.76,0,0.82,0.43,0,0.02,0.02,4.05,34.3,Isle Royale
IR17-CPX-11,2.41,1.95,0.04,0.02,0.74,0,0.85,0.39,0,0.02,0.02,4.03,31.3,Isle Royale
IR17-CPX-12,2.39,1.94,0.04,0.02,0.76,0,0.79,0.46,0,0.02,0.01,4.03,37.1,Isle Royale
Average,2.39,1.94,0.04,0.02,0.75,0,0.78,0.47,0,0.02,0.02,4.03,37.5,Isle Royale
IR19A-CPX-1,2.27,2,0.05,0.02,0.69,0,0.49,0.67,0,0.03,0.01,3.96,57.4,Isle Royale
IR19A-CPX-2,2.29,2,0.04,0.02,0.7,0,0.53,0.63,0,0.02,0.02,3.96,54.5,Isle Royale
IR19A-CPX-3,2.28,2,0.04,0.02,0.7,0,0.52,0.63,0,0.02,0.01,3.96,55,Isle Royale
IR19A-CPX-4,2.28,2,0.04,0.02,0.7,0,0.52,0.63,0,0.02,0.01,3.96,55,Isle Royale
IR19A-CPX-5,2.3,2.01,0.03,0.02,0.69,0,0.59,0.59,0,0.02,0.01,3.96,50.1,Isle Royale
IR19A-CPX-6,2.29,2,0.04,0.02,0.7,0,0.52,0.64,0,0.02,0.02,3.96,55,Isle Royale
IR19A-CPX-7,2.28,2,0.05,0.02,0.71,0,0.5,0.63,0,0.03,0.01,3.96,55.5,Isle Royale
IR19A-CPX-8,2.3,2.01,0.04,0.02,0.7,0,0.56,0.59,0,0.02,0.01,3.96,51.3,Isle Royale
IR19A-CPX-9,2.28,2,0.05,0.02,0.69,0,0.52,0.65,0,0.03,0.01,3.96,55.6,Isle Royale
Average,2.29,2,0.04,0.02,0.7,0,0.53,0.63,0,0.02,0.01,3.96,54.4,Isle Royale
IR19B-CPX-1,2.2,1.99,0.08,0,0.72,0,0.27,0.87,0,0.03,0.01,3.95,76.3,Isle Royale
IR19B-CPX-2,2.21,1.99,0.07,0.01,0.69,0,0.31,0.85,0,0.03,0,3.96,73.1,Isle Royale
IR19B-CPX-3,2.2,1.99,0.06,0.02,0.72,0.01,0.25,0.9,0,0.01,0,3.97,78.4,Isle Royale
IR19B-CPX-4,2.22,1.98,0.07,0.02,0.62,0,0.37,0.87,0,0.03,0,3.97,70,Isle Royale
IR19B-CPX-5,2.22,1.98,0.08,0.02,0.65,0,0.34,0.85,0,0.03,0.01,3.96,71.3,Isle Royale
IR19B-CPX-6,2.23,2,0.05,0.02,0.65,0,0.38,0.83,0,0.02,0.01,3.97,68.4,Isle Royale
IR19B-CPX-7,2.2,2,0.06,0.02,0.72,0,0.27,0.87,0,0.02,0,3.96,76.1,Isle Royale
IR19B-CPX-8,2.21,2,0.06,0.01,0.65,0,0.32,0.9,0,0.02,0,3.96,73.5,Isle Royale
IR19B-CPX-9,2.2,1.98,0.08,0.02,0.7,0.01,0.26,0.88,0,0.02,0.01,3.97,77.3,Isle Royale
IR19B-CPX-10,2.2,1.98,0.08,0.02,0.71,0,0.27,0.88,0,0.03,0,3.96,76.2,Isle Royale
IR19B-CPX-11,2.22,1.99,0.06,0.02,0.59,0,0.39,0.87,0,0.03,0.01,3.96,68.8,Isle Royale
Average,2.21,1.99,0.07,0.02,0.67,0,0.31,0.87,0,0.02,0,3.96,73.6,Isle Royale
IR20-CPX-1,2.2,1.97,0.1,0.02,0.7,0.02,0.25,0.89,0,0.02,0.01,3.96,78.2,Isle Royale
IR20-CPX-2,2.2,1.97,0.09,0.02,0.74,0.01,0.24,0.87,0,0.02,0.01,3.97,78.4,Isle Royale
IR20-CPX-3,2.23,1.97,0.08,0.03,0.7,0,0.32,0.84,0,0.03,0.01,3.98,72.1,Isle Royale
IR20-CPX-4,2.2,1.99,0.09,0.02,0.7,0.01,0.25,0.88,0,0.02,0,3.95,77.8,Isle Royale
IR20-CPX-5,2.23,1.97,0.08,0.02,0.62,0,0.38,0.87,0,0.03,0.01,3.98,69.5,Isle Royale
IR20-CPX-6,2.2,1.96,0.1,0.02,0.71,0.01,0.23,0.89,0,0.02,0.01,3.97,79.3,Isle Royale
IR20-CPX-7,2.21,1.98,0.08,0.02,0.67,0,0.31,0.87,0,0.02,0.01,3.97,73.9,Isle Royale
IR20-CPX-8,2.2,1.98,0.09,0.02,0.74,0,0.25,0.87,0,0.02,0.01,3.97,77.6,Isle Royale
IR20-CPX-9,2.2,1.99,0.07,0.01,0.75,0,0.23,0.88,0,0.02,0,3.96,79.3,Isle Royale
IR20-CPX-10,2.22,1.99,0.07,0.03,0.69,0,0.31,0.86,0,0.03,0.01,3.97,73.6,Isle Royale
Average,2.21,1.98,0.08,0.02,0.7,0,0.28,0.87,0,0.02,0.01,3.97,76,Isle Royale
IR22-CPX-1,2.22,1.99,0.05,0.02,0.65,0,0.34,0.89,0,0.02,0.01,3.97,72.1,Isle Royale
IR22-CPX-2,2.21,1.97,0.08,0.03,0.69,0,0.31,0.85,0,0.04,0,3.96,73.6,Isle Royale
IR22-CPX-3,2.21,1.98,0.09,0.02,0.74,0.01,0.25,0.85,0,0.02,0.01,3.96,77.2,Isle Royale
IR22-CPX-4,2.23,1.98,0.07,0.02,0.61,0,0.4,0.86,0,0.03,0.01,3.97,68.3,Isle Royale
IR22-CPX-5,2.25,1.96,0.06,0.02,0.66,0,0.43,0.84,0,0.02,0.01,3.99,66.3,Isle Royale
IR22-CPX-6,2.2,1.99,0.07,0.01,0.74,0.02,0.21,0.9,0,0.02,0.01,3.96,80.7,Isle Royale
IR22-CPX-7,2.2,1.97,0.09,0.02,0.75,0.02,0.21,0.87,0,0.02,0.01,3.97,80.9,Isle Royale
IR22-CPX-8,2.23,1.99,0.07,0.02,0.64,0,0.37,0.85,0,0.02,0.01,3.97,69.9,Isle Royale
IR22-CPX-9,2.23,1.99,0.07,0.01,0.68,0,0.36,0.82,0,0.03,0,3.96,69.7,Isle Royale
Average,2.22,1.98,0.07,0.02,0.68,0,0.32,0.86,0,0.02,0.01,3.97,73.2,Isle Royale
IR23-CPX-1,2.28,1.88,0.08,0.03,0.73,0,0.44,0.85,0,0.04,0.01,4.05,66.2,Isle Royale
IR23-CPX-2,2.28,1.93,0.05,0.02,0.71,0,0.49,0.81,0,0.02,0,4.03,62.6,Isle Royale
IR23-CPX-3,2.29,1.92,0.06,0.02,0.75,0,0.46,0.79,0,0.02,0.02,4.04,63.2,Isle Royale
IR23-CPX-4,2.29,1.92,0.05,0.02,0.77,0,0.45,0.82,0,0.02,0.01,4.05,64.3,Isle Royale
IR23-CPX-5,2.3,1.88,0.08,0.02,0.82,0,0.46,0.78,0,0.03,0,4.06,63.1,Isle Royale
IR23-CPX-6,2.28,1.93,0.09,0.03,0.68,0,0.47,0.78,0,0.02,0.02,4.02,62.5,Isle Royale
IR23-CPX-7,2.26,1.92,0.14,0.04,0.76,0,0.4,0.73,0,0.02,0.01,4.01,64.7,Isle Royale
IR23-CPX-8,2.23,1.87,0.36,0.12,0.71,0,0.32,0.6,0,0.02,0,3.99,65.3,Isle Royale
