Sample,Na2O,CaO,Al2O3,Cr2O3,FeO,MgO,K2O,SiO2,TiO2,MnO,Total,Location
G527-CPX-10,0.13,15.8,1.54,0.02,17.2,12.8,0,50.8,0.81,0.47,99.6,NBBC
G527-CPX-11,0.18,17,1.5,0,18,11.2,0.01,50.5,0.81,0.37,99.6,NBBC
Average,0.19,17.09,1.55,0.02,15.75,12.73,0.01,51.61,0.85,0.37,100.2,NBBC
G536-CPX-1,0.19,16.5,1.57,0,17.1,11.9,0.01,51.3,0.75,0.36,99.7,NBBC
G536-CPX-2,0.2,16.8,1.32,0,16.7,12,0.02,52.1,0.79,0.42,100.4,NBBC
G536-CPX-3,0.23,17.1,1.32,0,16.8,12.2,0,51.4,0.79,0.4,100.2,NBBC
G536-CPX-4,0.23,16.4,1.32,0.01,16.7,12.6,0,52,0.75,0.46,100.5,NBBC
G536-CPX-5,0.22,16.2,1.27,0.03,17.3,12.6,0,51.8,0.74,0.39,100.6,NBBC
G536-CPX-6,0.23,16.5,1.37,0.02,17.1,12,0,51.7,0.8,0.37,100.1,NBBC
G536-CPX-7,0.18,16.4,1.29,0,17.4,12.2,0.01,51.1,0.77,0.41,99.8,NBBC
G536-CPX-8,0.22,17.1,1.31,0,17,12.1,0.01,51.9,0.78,0.36,100.8,NBBC
G536-CPX-9,0.21,16.5,1.23,0,17,12.3,0,50.9,0.76,0.37,99.3,NBBC
G536-CPX-10,0.2,16.9,1.26,0.04,17,12.1,0,51.4,0.8,0.32,100,NBBC
G536-CPX-11,0.22,16.8,1.32,0,16.4,12.5,0.01,52,0.81,0.33,100.4,NBBC
Average,0.21,16.65,1.33,0.01,16.95,12.23,0.01,51.6,0.78,0.38,100.1,NBBC
KP1-CPX-1,0.25,18.45,1.92,0,9.59,15.15,0,53.56,1.09,0,100,Keweenaw
KP1-CPX-2,0.44,17.33,1.43,0,9.87,15.94,0,53.72,0.92,0.35,100,Keweenaw
KP1-CPX-3,0,1.99,0.6,0,20.99,20.82,0,54.61,0.4,0.59,100,Keweenaw
KP1-CPX-4,0,15.55,1.18,0,12.14,15.92,0,54.43,0.78,0,100,Keweenaw
KP1-CPX-5,0.34,16.84,1.59,0,11.85,14.82,0,53.44,1.13,0,100,Keweenaw
KP1-CPX-6,0.28,18.38,1.78,0,8.69,15.79,0,54.27,0.82,0,100,Keweenaw
KP1-CPX-7,0.27,18.75,2.25,0,7.62,15.97,0,54,1.14,0,100,Keweenaw
KP1-CPX-8,0.27,18.72,1.77,0,8.88,15.51,0,53.72,1.12,0,100,Keweenaw
KP1-CPX-9,0.19,11.05,1.04,0,15.92,16.99,0,53.73,0.78,0.3,100,Keweenaw
KP1-CPX-10,0,4.23,0.76,0,19.46,20.06,0,54.58,0.49,0.42,100,Keweenaw
KP1-CPX-11,0.36,17.72,1.29,0,10.05,15.6,0,54.1,0.88,0,100,Keweenaw
KP1-CPX-12,0,3.78,1.05,0,19.42,20.81,0,54.19,0.39,0.36,100,Keweenaw
KP1-CPX-13,0.22,18.33,1.87,0,9.3,15.24,0,53.76,0.97,0.31,100,Keweenaw
Average,0.2,13.93,1.43,0,12.6,16.82,0,54.01,0.84,0.18,100,Keweenaw
KP5-CPX-1,0.22,17.09,1.8,0,11.23,15.13,0,53.33,0.87,0.32,100,Keweenaw
KP5-CPX-2,0.48,16.88,1.93,0,10.57,15.74,0,53.03,1.36,0,100,Keweenaw
KP5-CPX-3,0,3.72,0.37,0,19.3,21.18,0,54.42,0.5,0.52,100,Keweenaw
KP5-CPX-4,0,5.3,0.92,0,17.62,20.86,0,54.11,0.68,0.5,100,Keweenaw
KP5-CPX-5,0.3,16.22,1.8,0,11.34,15.7,0,53.37,1.01,0.26,100,Keweenaw
KP5-CPX-6,0.19,16.01,1.66,0,11.56,15.94,0,53.37,0.98,0.29,100,Keweenaw
KP5-CPX-7,0.29,19.06,2.33,0.39,7.23,15.98,0,53.63,0.81,0.27,100,Keweenaw
KP5-CPX-8,0.31,18.66,2.15,0,8.57,15.55,0,53.28,1.22,0.25,100,Keweenaw
KP5-CPX-9,0.21,15.77,1.26,0,11.59,16.13,0,54.21,0.83,0,100,Keweenaw
KP5-CPX-10,0.27,18,2.13,0,8.75,15.9,0,53.5,1.13,0.31,100,Keweenaw
KP5-CPX-11,0.31,18.78,1.95,0,8.13,15.83,0,53.52,1.14,0.34,100,Keweenaw
KP5-CPX-12,0,20.81,0.63,0,8.1,14.61,0,55.54,0,0.33,100,Keweenaw
Average,0.22,15.53,1.58,0.03,11.17,16.55,0,53.78,0.88,0.28,100,Keweenaw
KP6-CPX-1,0.27,17.6,2.18,0,11.23,14.69,0,52.35,1.25,0.43,100,Keweenaw
KP6-CPX-2,0,11.19,1.27,0,14.76,17.51,0,54.41,0.51,0.36,100,Keweenaw
KP6-CPX-3,0.2,15.8,1.39,0,10.87,17.29,0,53.34,0.78,0.35,100,Keweenaw
KP6-CPX-4,0,21.54,1.86,0.22,9.32,16.63,0,53.1,0.45,0.01,103.1,Keweenaw
KP6-CPX-5,0.32,17.67,2.11,0,10.28,15.09,0,53.43,1.09,0,100,Keweenaw
KP6-CPX-6,0,17.15,1.46,0,11.44,14.97,0,53.51,1.1,0.37,100,Keweenaw
Average,0.13,16.83,1.71,0.04,11.32,16.03,0,53.36,0.86,0.25,100.5,Keweenaw
KP7A-CPX-1,0.38,20.09,1.94,0.32,8.07,17.3,0,50.86,0.72,0.32,100,Keweenaw
KP7A-CPX-2,0.31,19.58,2.27,0.38,8.35,16.83,0,51.12,0.8,0.36,100,Keweenaw
KP7A-CPX-3,0.3,19.14,2.05,0,8.75,17.04,0,51.54,0.9,0.28,100,Keweenaw
KP7A-CPX-4,0,20.09,1.86,0.32,9.08,16.63,0,51.1,0.92,0,100,Keweenaw
KP7A-CPX-5,0,21.91,1.83,0,12.64,13.61,0,48.66,0.95,0.4,100,Keweenaw
KP7A-CPX-6,0,20.09,1.86,0.32,9.08,16.63,0,51.1,0.92,0,100,Keweenaw
KP7A-CPX-7,0.3,19.25,2.09,0.35,8.09,17.17,0,51.68,0.81,0.26,100,Keweenaw
KP7A-CPX-8,0.25,20.14,1.95,0.27,8.68,16.79,0,51.35,0.57,0,100,Keweenaw
KP7A-CPX-9,0,21.91,1.83,0,12.64,13.61,0,48.66,0.95,0.4,100,Keweenaw
KP7A-CPX-10,0,21.91,1.83,0,12.64,13.61,0,48.66,0.95,0.4,100,Keweenaw
KP7A-CPX-11,0.4,19.16,1.77,0,12.6,14.43,0,50.55,1.1,0,100,Keweenaw
KP7A-CPX-12,0.25,21.24,2.25,0.56,8.51,16.13,0,50.33,0.73,0,100,Keweenaw
KP7A-CPX-13,0.34,20.26,1.85,0.26,9.61,16.13,0,50.36,0.84,0.35,100,Keweenaw
KP7A-CPX-14,0.26,19.86,1.98,0.4,8.71,16.89,0,51.17,0.74,0,100,Keweenaw
KP7A-CPX-15,0.33,19.16,2.03,0.3,8.81,16.97,0,51.75,0.65,0,100,Keweenaw
Average,0.21,20.25,1.96,0.23,9.75,15.98,0,50.59,0.84,0.18,100,Keweenaw
KP7B-CPX-1,0.29,17.96,1.35,0,14.09,14.5,0,50.46,0.99,0.36,100,Keweenaw
KP7B-CPX-2,0.29,17.77,1.34,0,15.73,13.56,0,50.18,1.13,0,100,Keweenaw
KP7B-CPX-3,0.41,17.89,1.34,0,15.14,13.88,0,50.05,0.92,0.36,100,Keweenaw
KP7B-CPX-4,0.29,19.56,1.59,0,15.22,12.55,0,49.56,0.87,0.36,100,Keweenaw
KP7B-CPX-5,0.29,17.96,1.35,0,14.09,14.5,0,50.46,0.99,0.36,100,Keweenaw
KP7B-CPX-6,0.41,17.89,1.34,0,15.14,13.88,0,50.05,0.92,0.36,100,Keweenaw
KP7B-CPX-7,0.29,17.77,1.34,0,14.73,14.56,0,50.18,1.13,0,100,Keweenaw
KP7B-CPX-8,0.38,18.14,1.65,0,15.29,13.07,0.15,50.27,0.71,0.34,100,Keweenaw
KP7B-CPX-9,0.33,17.35,3.06,0,15.43,14.3,0,48.23,0.93,0.37,100,Keweenaw
KP7B-CPX-10,0.3,18.44,1.29,0,14.66,14.25,0,50.18,0.87,0,100,Keweenaw
KP7B-CPX-11,0.31,17.48,0.9,0,17.69,12.49,0,49.87,0.68,0.59,100,Keweenaw
KP7B-CPX-12,0.27,16.35,0.9,0,17.55,13.49,0,50.19,0.69,0.55,100,Keweenaw
Average,0.32,17.88,1.45,0,15.4,13.75,0.01,49.97,0.9,0.3,100,Keweenaw
KP10-CPX-1,0.21,17.49,1.08,0,13.3,13.45,0,53.15,0.85,0.46,100,Keweenaw
KP10-CPX-2,0.33,18.77,2.16,0,9.98,14.28,0,52.91,1.15,0.43,100,Keweenaw
KP10-CPX-3,0.19,17.71,1.3,0,13.18,13.32,0,53.16,0.85,0.29,100,Keweenaw
KP10-CPX-4,0.26,17.36,1.47,0,12.85,13.51,0,53.11,1.01,0.42,100,Keweenaw
KP10-CPX-5,0,1.29,13.44,0,29.12,16.55,0,39.27,0,0.34,100,Keweenaw
KP10-CPX-6,0.23,17.55,1.34,0,13.08,13.19,0,53.42,0.8,0.37,100,Keweenaw
KP10-CPX-7,0,1.63,12.98,0,27.61,16.14,0.17,41.15,0,0.32,100,Keweenaw
KP10-CPX-8,0.27,17.4,1.23,0,13.58,13.04,0,53.21,0.77,0.5,100,Keweenaw
KP10-CPX-9,0.3,18.7,1.8,0,10.86,13.84,0,53.14,0.97,0.4,100,Keweenaw
KP10-CPX-10,0.31,18.81,1.49,0,11.37,13.58,0,53.39,1.05,0,100,Keweenaw
Average,0.21,14.67,3.83,0,15.49,14.09,0.02,50.59,0.75,0.35,100,Keweenaw
KP11A-CPX-1,0.23,17.63,1.06,0,14.27,12.69,0,53.05,0.78,0.28,100,Keweenaw
KP11A-CPX-2,0.3,16.64,1.04,0,16.65,11.37,0,52.79,0.84,0.36,100,Keweenaw
KP11A-CPX-3,0.28,17.49,0.98,0,14.56,12.3,0,53.47,0.93,0,100,Keweenaw
KP11A-CPX-4,0.3,16.63,0.63,0,17.95,10.75,0,52.92,0.35,0.47,100,Keweenaw
KP11A-CPX-5,0.24,17.98,1.19,0,13.08,12.85,0,53.08,1.17,0.42,100,Keweenaw
KP11A-CPX-6,0.3,17.13,1.09,0,15.77,11.9,0,52.78,0.76,0.27,100,Keweenaw
KP11A-CPX-7,0.27,16.35,0.9,0,17.55,13.49,0,50.19,0.69,0.55,100,Keweenaw
KP11A-CPX-8,0,18.01,3.19,0,14.26,10.33,0,53.08,0,1.14,100,Keweenaw
KP11A-CPX-9,0.31,17.48,0.9,0,17.69,12.49,0,49.87,0.68,0.59,100,Keweenaw
KP11A-CPX-10,0.34,20.26,1.85,0.26,16.23,9.61,0,50.36,0.84,0.35,100.1,Keweenaw
KP11A-CPX-11,0.32,16.9,1.1,0,16.27,11.43,0,52.68,0.93,0.38,100,Keweenaw
KP11A-CPX-12,0.22,17.33,0.71,0,17.6,10.29,0,52.43,0.95,0.45,100,Keweenaw
Average,0.26,17.49,1.22,0.02,15.99,11.63,0,52.23,0.74,0.44,100,Keweenaw
KP12-CPX-1,0.43,18.01,0.54,0,24.99,5.97,0,48.64,0.56,0.87,100,Keweenaw
KP12-CPX-2,0.32,18.49,0.51,0,23.76,6.62,0,49.05,0.6,0.64,100,Keweenaw
KP12-CPX-3,0.23,17.25,0.9,0,21.09,9.7,0,49.63,0.57,0.62,100,Keweenaw
KP12-CPX-4,0.31,18.02,0.66,0,23.77,7.14,0,48.82,0.66,0.61,100,Keweenaw
KP12-CPX-5,0.26,18.11,0.75,0,21.87,8.53,0,49.09,0.9,0.51,100,Keweenaw
KP12-CPX-6,0.2,18,0.79,0,21.3,9.13,0,49.39,0.69,0.51,100,Keweenaw
KP12-CPX-7,0.26,18.1,0.81,0,19.09,10.77,0,49.54,0.71,0.71,100,Keweenaw
KP12-CPX-8,0,17.31,1.09,0,20.33,10.74,0,49.47,0.62,0.45,100,Keweenaw
KP12-CPX-9,0.24,17.92,1.9,0,18.18,11.22,0,48.87,1.18,0.48,100,Keweenaw
KP12-CPX-10,0.21,17.6,1.02,0,18.78,11.56,0,49.53,0.83,0.45,100,Keweenaw
KP12-CPX-11,0.25,17.21,0.76,0,20.98,9.84,0,49.43,0.9,0.62,100,Keweenaw
KP12-CPX-12,0.37,17.39,0.36,0,26.04,6.08,0,48.67,0.29,0.81,100,Keweenaw
KP12-CPX-13,0.34,18.22,0.72,0,24.98,5.95,0,48.42,0.68,0.7,100,Keweenaw
KP12-CPX-14,0.3,17.81,1.14,0,16.95,12.74,0,49.65,0.92,0.48,100,Keweenaw
KP12-CPX-15,0.48,17.32,1.42,0,19.69,10.49,0,48.92,1.1,0.59,100,Keweenaw
Average,0.28,17.78,0.89,0,21.45,9.1,0,49.14,0.75,0.6,100,Keweenaw
KP14A-CPX-1,0.34,17.27,0.75,0,20.96,10.39,0,49.26,0.61,0.41,100,Keweenaw
KP14A-CPX-2,0.25,16.93,0.85,0,20.52,10.64,0,49.51,0.78,0.52,100,Keweenaw
KP14A-CPX-3,0.33,16.93,0.88,0,20.83,10.21,0,49.6,0.64,0.58,100,Keweenaw
KP14A-CPX-4,0.23,17.01,0.84,0,20.13,10.57,0,49.89,0.89,0.43,100,Keweenaw
KP14A-CPX-5,0.3,16.49,1.04,0,20.27,10.99,0,49.52,0.87,0.51,100,Keweenaw
KP14A-CPX-6,0.39,17.31,1,0,20.24,10.27,0,49.33,0.75,0.72,100,Keweenaw
KP14A-CPX-7,0.3,16.85,0.76,0,20.32,10.89,0,49.48,0.87,0.52,100,Keweenaw
KP14A-CPX-8,0.39,17.18,0.85,0,20.77,10.23,0,49.39,0.73,0.46,100,Keweenaw
KP14A-CPX-9,0.3,16.93,0.67,0,20.4,10.51,0,49.83,0.84,0.52,100,Keweenaw
KP14A-CPX-10,0.28,17.02,0.79,0,20.41,10.3,0,49.82,0.85,0.52,100,Keweenaw
Average,0.31,16.99,0.84,0,20.49,10.5,0,49.56,0.78,0.52,100,Keweenaw
KP14B-CPX-1,0.32,18.47,1.8,0,11.16,13.64,0,53,1.29,0.32,100,Keweenaw
KP14B-CPX-2,0.3,18.68,1.45,0,10.77,14.28,0,53.52,1.01,0,100,Keweenaw
KP14B-CPX-3,0.24,18.47,1.86,0,11.26,13.71,0,53.3,1.16,0,100,Keweenaw
KP14B-CPX-4,0.39,17.58,1.37,0,13.36,12.78,0,53.37,0.79,0.35,100,Keweenaw
KP14B-CPX-5,0.28,18.18,2.14,0,11.42,13.85,0,52.58,1.23,0.33,100,Keweenaw
KP14B-CPX-6,0.35,17.9,1.32,0,12.35,13.44,0,53.23,1,0.4,100,Keweenaw
KP14B-CPX-7,0.29,18.09,1.68,0,12.35,13.28,0,52.75,1.25,0.31,100,Keweenaw
KP14B-CPX-8,0.25,18.68,1.9,0,10.5,14.34,0,53.26,1.08,0,100,Keweenaw
KP14B-CPX-9,0.36,19.09,2.37,0.26,9.6,14.26,0,52.7,1.03,0.34,100,Keweenaw
Average,0.31,18.35,1.77,0.03,11.42,13.73,0,53.08,1.09,0.23,100,Keweenaw
KP15-CPX-1,0.28,17.57,1.77,0,9.92,15.66,0,53.35,1.09,0.35,100,Keweenaw
KP15-CPX-2,0.21,18.1,1.33,0,8.76,16.4,0,54.04,0.79,0.36,100,Keweenaw
KP15-CPX-3,0,3.88,0,0,21.91,19.08,0,54.26,0.38,0.5,100,Keweenaw
KP15-CPX-4,0,2.55,0.27,0,22.82,19.09,0,54.33,0.41,0.53,100,Keweenaw
KP15-CPX-5,0.24,18.66,2.44,0.67,7.56,15.89,0,53.32,0.93,0.29,100,Keweenaw
KP15-CPX-6,0,2.54,0.37,0,22.7,19.65,0,54.32,0,0.41,100,Keweenaw
KP15-CPX-7,0.24,17.9,1.27,0,9.15,16.11,0,54.23,0.85,0.25,100,Keweenaw
KP15-CPX-8,0,2.51,0.27,0,23,19.3,0,53.98,0.35,0.59,100,Keweenaw
KP15-CPX-9,0.25,14.56,1.13,0,12.76,15.95,0,54.01,0.85,0.5,100,Keweenaw
KP15-CPX-10,0,5.32,0.65,0,19.83,19.31,0,53.77,0.57,0.55,100,Keweenaw
KP15-CPX-11,0.31,18.84,2.05,0,7.78,15.87,0,54.29,0.86,0,100,Keweenaw
KP15-CPX-12,0.28,15.36,1.52,0,13.18,15.19,0,53.01,1.06,0.4,100,Keweenaw
Average,0.15,11.48,1.09,0.06,14.95,17.29,0,53.91,0.68,0.39,100,Keweenaw
KP101-CPX-1,0.25,16.38,1.66,0,12.81,14.18,0,53.32,0.97,0.43,100,Keweenaw
KP101-CPX-2,0.25,16.38,1.66,0,12.81,14.18,0,53.32,0.97,0.43,100,Keweenaw
KP101-CPX-3,0,3.47,0.52,0,23.52,17.71,0,53.72,0.43,0.63,100,Keweenaw
KP101-CPX-4,0.27,17.92,1.96,0,10.98,14.83,0,52.72,1.32,0,100,Keweenaw
KP101-CPX-5,0.29,16.55,1.21,0,12.86,14.34,0,53.59,0.84,0.32,100,Keweenaw
KP101-CPX-6,0.26,15.47,1.25,0,15.1,13.66,0,52.88,0.8,0.57,100,Keweenaw
KP101-CPX-7,0.33,17.33,1.15,0,13.1,13.31,0,53.69,0.71,0.39,100,Keweenaw
KP101-CPX-8,0.24,16.54,1.53,0,12.9,14.25,0,53.24,0.92,0.38,100,Keweenaw
KP101-CPX-9,0,4.8,0.37,0,23.97,16.54,0,53.17,0.51,0.63,100,Keweenaw
KP101-CPX-10,0.31,17.62,1.72,0,12,13.98,0,52.87,1.19,0.3,100,Keweenaw
Average,0.22,14.25,1.3,0,15.01,14.7,0,53.25,0.87,0.41,100,Keweenaw
KP108-CPX-1,0.27,18.38,1.16,0,13.97,14.5,0,50.86,0.57,0.28,100,Keweenaw
KP108-CPX-2,0,21.91,1.83,0,12.64,13.61,0,48.66,0.95,0.4,100,Keweenaw
KP108-CPX-3,0.29,19.56,1.59,0,15.22,12.55,0,49.56,0.87,0.36,100,Keweenaw
KP108-CPX-4,0.41,17.89,1.34,0,15.14,13.88,0,50.05,0.92,0.36,100,Keweenaw
KP108-CPX-5,0,21.91,1.83,0,12.64,13.61,0,48.66,0.95,0.4,100,Keweenaw
KP108-CPX-6,0.21,17.75,1.83,0,12.62,15.85,0,50.24,1.14,0.36,100,Keweenaw
KP108-CPX-7,0.35,18.22,1.64,0,11.43,15.97,0,50.99,1.02,0.38,100,Keweenaw
KP108-CPX-8,0.29,17.77,1.34,0,14.75,14.32,0,51.2,1.21,0,100.9,Keweenaw
KP108-CPX-9,0,3.64,0.63,0,20.66,19.76,0,54.27,0.38,0.67,100,Keweenaw
KP108-CPX-10,0.23,16.57,1.51,0,15.64,14.3,0,50.48,0.95,0.33,100,Keweenaw
Average,0.21,17.36,1.47,0,14.47,14.84,0,50.5,0.9,0.35,100.1,Keweenaw
KP111A-CPX-1,0.38,17.15,1.27,0,13.53,13.47,0,53.32,0.88,0,100,Keweenaw
KP111A-CPX-2,0.25,19.12,2.26,0,15.03,8.76,0,53.81,0.76,0,100,Keweenaw
KP111A-CPX-3,0,18.63,1.65,0,15.63,9.07,0,54.44,0.59,0,100,Keweenaw
KP111A-CPX-4,0.22,19.26,1.75,0,15.31,8.48,0,54.01,0.97,0,100,Keweenaw
KP111A-CPX-5,0.26,19.16,1.73,0,15.32,8.42,0,54.19,0.64,0.29,100,Keweenaw
KP111A-CPX-6,0.32,17.75,1.33,0,13.7,12.4,0,53.24,0.92,0.34,100,Keweenaw
KP111A-CPX-7,0.24,18.76,2.01,0,15.51,8.74,0,53.6,0.87,0.27,100,Keweenaw
KP111A-CPX-8,0.32,19.07,1.87,0.39,15.32,8.41,0,53.83,0.8,0,100,Keweenaw
KP111A-CPX-9,0.35,19.05,1.7,0,15.14,8.77,0,53.83,0.87,0.29,100,Keweenaw
KP111A-CPX-10,0.45,19,1.86,0,14.72,8.86,0,53.66,1.03,0.42,100,Keweenaw
KP111A-CPX-11,0.32,19.33,1.77,0,15.03,8.31,0,54.51,0.72,0,100,Keweenaw
KP111A-CPX-12,0.57,18.91,1.77,0,15.69,8.47,0,53.71,0.87,0,100,Keweenaw
Average,0.31,18.77,1.75,0.03,14.99,9.35,0,53.85,0.83,0.13,100,Keweenaw
KP111B-CPX-1,0.4,17.39,1.24,0,13.56,12.71,0,53.5,0.89,0.31,100,Keweenaw
KP111B-CPX-2,0.25,18.89,1.89,0.25,8.92,15.24,0,53.73,0.82,0,100,Keweenaw
KP111B-CPX-3,0.32,17,1.28,0,13.61,12.71,0,54.03,0.74,0.3,100,Keweenaw
KP111B-CPX-4,0.33,18.53,2.17,0,15.29,8.9,0,53.89,0.9,0,100,Keweenaw
KP111B-CPX-5,0.3,16.71,1.07,0,14.76,12.81,0,53.35,0.62,0.38,100,Keweenaw
KP111B-CPX-6,0.29,18.09,3.01,0,14.1,10.41,0,52.79,1.31,0,100,Keweenaw
KP111B-CPX-7,0.21,18.97,1.77,0.22,15.07,8.51,0,54.07,0.9,0.27,100,Keweenaw
KP111B-CPX-8,0.43,16.51,10.68,0,11.11,11.23,0,48.79,0.88,0.37,100,Keweenaw
KP111B-CPX-9,0.26,19.2,2.53,0,8.48,14.99,0,53.31,0.96,0.27,100,Keweenaw
Average,0.31,17.92,2.85,0.05,12.77,11.95,0,53.05,0.89,0.21,100,Keweenaw
KP111C-CPX-1,0.42,18.62,1.74,0,10.65,14.12,0,53.34,1.12,0,100,Keweenaw
KP111C-CPX-2,0.34,18.58,1.52,0,10.63,14.18,0,53.36,0.97,0.42,100,Keweenaw
KP111C-CPX-3,0.16,19.14,1.73,0,9.09,14.9,0,54,0.68,0.29,100,Keweenaw
KP111C-CPX-4,0.25,18.97,1.92,0,9.37,14.8,0,53.85,0.84,0,100,Keweenaw
KP111C-CPX-5,0.51,17.72,1.58,0,11.97,14,0,52.83,1.06,0.33,100,Keweenaw
KP111C-CPX-6,0.33,16.62,1.4,0,14.07,13.17,0,53.05,0.95,0.42,100,Keweenaw
KP111C-CPX-7,0.2,18.72,1.71,0.31,10.56,14.2,0,53.12,0.92,0.25,100,Keweenaw
KP111C-CPX-8,0.55,17.61,1.42,0,12.4,13.71,0,53,0.91,0.4,100,Keweenaw
Average,0.35,18.25,1.63,0.04,11.09,14.14,0,53.32,0.93,0.26,100,Keweenaw
KP114-CPX-1,0.2,18.41,1.36,0,13.35,14.49,0,50.82,0.84,0.54,100,Keweenaw
KP114-CPX-2,0.29,18.99,1.59,0,12.1,14.84,0,50.49,1.28,0.42,100,Keweenaw
KP114-CPX-3,0.29,18.41,1.49,0,13.05,15.12,0,50.43,1.2,0,100,Keweenaw
KP114-CPX-4,0.3,17.07,1.36,0,15.42,14.43,0,50.11,0.94,0.36,100,Keweenaw
KP114-CPX-5,0,17.63,1.37,0,14.86,14.37,0,50.34,0.97,0.47,100,Keweenaw
KP114-CPX-6,0.29,18.2,1.4,0,13.71,14.99,0,50.5,0.91,0,100,Keweenaw
KP114-CPX-7,0.29,18.58,1.71,0,12.85,14.61,0,50.54,1.42,0,100,Keweenaw
KP114-CPX-8,0.3,18.25,1.84,0,13.59,14.43,0,50.29,1.29,0,100,Keweenaw
Average,0.25,18.19,1.52,0,13.62,14.66,0,50.44,1.11,0.22,100,Keweenaw
IR1-CPX-1,0.28,18.26,2.36,0.61,15.67,8.43,0,53.52,0.87,0,100,Isle Royale
IR1-CPX-2,0,17.98,1.47,0,12.38,13.59,0,53.06,1.09,0.42,100,Isle Royale
IR1-CPX-3,0.2,18.85,1.49,0,14.67,9.89,0,54.07,0.83,0,100,Isle Royale
IR1-CPX-4,0.32,18.43,1.62,0,14.2,10.82,0,53.82,0.79,0,100,Isle Royale
IR1-CPX-5,0.23,19.11,1.44,0.29,15.82,8.2,0,54.2,0.7,0,100,Isle Royale
IR1-CPX-6,0.27,19.02,1.61,0,14.67,9.77,0,53.87,0.79,0,100,Isle Royale
IR1-CPX-7,0.3,18.11,1.26,0,12.63,12.89,0,53.25,1.04,0.52,100,Isle Royale
IR1-CPX-8,0.46,18.89,1.96,0,15.22,9.11,0,53.34,1.03,0,100,Isle Royale
IR1-CPX-9,0.26,18.81,1.55,0,14.68,9.72,0,53.89,0.7,0.38,100,Isle Royale
IR1-CPX-10,0.28,16.96,0.91,0,15.69,12.41,0,52.63,0.7,0.41,100,Isle Royale
Average,0.26,18.44,1.57,0.09,14.56,10.48,0,53.57,0.85,0.17,100,Isle Royale
IR3-CPX-1,0.27,17.6,1.35,0,12.76,13.62,0,53.21,0.93,0.26,100,Isle Royale
IR3-CPX-2,0.42,17.54,1.56,0,12.18,13.78,0,53.08,1.11,0.33,100,Isle Royale
IR3-CPX-3,0.42,17.54,1.56,0,12.18,13.78,0,53.08,1.11,0.33,100,Isle Royale
IR3-CPX-4,0.33,17.54,1.45,0,12.65,13.69,0,52.97,1.05,0.32,100,Isle Royale
IR3-CPX-5,0.3,17.34,1.17,0,13.8,12.94,0,53.71,0.75,0,100,Isle Royale
IR3-CPX-6,0.3,17.83,1.45,0,12.04,13.91,0,53.2,0.96,0.3,100,Isle Royale
IR3-CPX-7,0.28,17.23,1.39,0,12.88,13.73,0,53.37,0.88,0.25,100,Isle Royale
IR3-CPX-8,0.31,17.62,1.44,0,12.32,13.72,0,53.29,0.96,0.35,100,Isle Royale
IR3-CPX-9,0.25,18.58,1.79,0,14.71,10.13,0.13,53.33,0.79,0.29,100,Isle Royale
IR3-CPX-10,0.24,18.19,1.73,0,15,9.95,0,54.06,0.82,0,100,Isle Royale
Average,0.31,17.7,1.49,0,13.05,12.93,0.01,53.33,0.94,0.24,100,Isle Royale
IR6-CPX-1,0.29,17.59,1.86,0,12.08,14.09,0,53.04,1.06,0,100,Isle Royale
IR6-CPX-2,0.29,18.07,1.54,0,12.22,13.4,0,52.98,1.19,0.32,100,Isle Royale
IR6-CPX-3,0.33,17.7,1.94,0,14.06,11.68,0,53.06,1.23,0,100,Isle Royale
IR6-CPX-4,0.22,18.76,2.04,0,13.77,11.14,0,53.05,1.02,0,100,Isle Royale
IR6-CPX-5,0.27,17.33,1.21,0,13.93,12.9,0,52.99,0.93,0.44,100,Isle Royale
IR6-CPX-6,0.29,17.97,1.5,0,14.23,11.26,0,53.67,0.78,0,99.7,Isle Royale
IR6-CPX-7,0.21,16.74,1.08,0,14.4,13.08,0,53.19,0.79,0.51,100,Isle Royale
IR6-CPX-8,0.21,16.43,0.98,0,16.5,12.04,0,52.69,0.76,0.39,100,Isle Royale
IR6-CPX-9,0.22,17.37,1.08,0,14.63,12.56,0,53.01,0.86,0.27,100,Isle Royale
IR6-CPX-10,0.16,16.61,0.87,0,15.73,12.38,0,52.96,0.75,0.53,100,Isle Royale
Average,0.25,17.46,1.41,0,14.16,12.45,0,53.06,0.94,0.25,100,Isle Royale
IR7A-CPX-1,0.28,17.51,1.27,0,13.02,13.37,0,53.27,0.91,0.37,100,Isle Royale
IR7A-CPX-2,0.19,18.61,1.49,0,14.5,10.59,0,53.58,0.8,0.24,100,Isle Royale
IR7A-CPX-3,0.28,15.68,1.17,0,16.34,12.58,0,52.61,0.89,0.45,100,Isle Royale
IR7A-CPX-4,0.35,16.3,1.15,0,15.49,12.48,0,52.62,1.14,0.47,100,Isle Royale
IR7A-CPX-5,0.25,17.56,1.43,0,13.39,13.26,0,52.72,1.15,0.24,100,Isle Royale
IR7A-CPX-6,0.35,17.06,0.96,0,15.13,12.49,0,53.2,0.82,0,100,Isle Royale
IR7A-CPX-7,0.23,17.16,1.12,0,14.07,12.61,0,53.4,0.93,0.49,100,Isle Royale
IR7A-CPX-8,0.44,17.35,1.73,0,13.48,12.77,0,52.68,1.23,0.32,100,Isle Royale
IR7A-CPX-9,0.24,18.48,1.6,0,10.05,14.84,0,53.38,0.93,0.45,100,Isle Royale
