Sample,CAT SUM,Si,Fe,Mg,Mn,Ca,Ti,Total,Mg#,Unit
B364-Ol-7,1.59,0.99,0.55,1.45,0.01,0,0,3.01,72.3,BRD
Average,1.61,0.99,0.55,1.45,0.01,0,0,3.01,72.3,BRD
E161-Ol-1,1.58,0.98,0.52,1.5,0.01,0.01,0,3.01,74.4,BRD
E161-Ol-2,1.57,0.99,0.51,1.48,0.01,0.01,0,3.01,74.4,BRD
E161-Ol-3,1.57,0.99,0.51,1.49,0.01,0.01,0,3.01,74.6,BRD
E161-Ol-4,1.57,0.99,0.51,1.49,0.01,0.01,0,3,74.5,BRD
E161-Ol-5,1.56,0.99,0.51,1.49,0.01,0.01,0,3,74.7,BRD
E161-Ol-6,1.57,1.01,0.5,1.46,0.01,0.01,0,2.99,74.5,BRD
Average,1.57,0.99,0.51,1.48,0.01,0.01,0,3,74.5,BRD
D126-Ol-1,1.58,0.98,0.54,1.47,0.01,0.01,0,3.01,73.2,BRD
D126-Ol-2,1.57,1,0.53,1.45,0.01,0.01,0,3,73.1,BRD
D126-Ol-3,1.55,1,0.54,1.44,0.01,0.01,0,3,72.9,BRD
D126-Ol-4,1.59,0.99,0.55,1.47,0.01,0.01,0,3.01,72.9,BRD
D126-Ol-5,1.57,0.99,0.54,1.46,0.01,0.01,0,3.01,73,BRD
Average,1.57,0.99,0.54,1.46,0.01,0.01,0,3.01,73,BRD
D314-Ol-1,1.64,0.97,0.69,1.35,0.01,0.01,0,3.03,66.1,BRD
D314-Ol-2,1.62,0.98,0.68,1.35,0.01,0.01,0,3.02,66.5,BRD
D314-Ol-3,1.62,0.97,0.64,1.4,0.01,0.01,0,3.03,68.5,BRD
D314-Ol-4,1.64,0.95,0.68,1.4,0.01,0.01,0,3.05,67.5,BRD
D314-Ol-5,1.64,0.96,0.68,1.37,0.01,0.01,0,3.04,66.9,BRD
Average,1.63,0.97,0.67,1.37,0.01,0.01,0,3.03,67.1,BRD
D246-Ol-1,1.62,0.98,0.6,1.42,0.01,0.01,0,3.02,70.2,BRD
D246-Ol-2,1.6,0.98,0.6,1.42,0.01,0.01,0,3.02,70.3,BRD
D246-Ol-3,1.61,0.96,0.6,1.47,0.01,0.01,0,3.04,71.2,BRD
D246-Ol-4,1.6,0.98,0.63,1.41,0.01,0.01,0,3.02,69.2,BRD
D246-Ol-5,1.62,0.97,0.65,1.39,0.01,0.01,0,3.03,68.1,BRD
D246-Ol-7,1.6,0.97,0.64,1.4,0.01,0.01,0,3.03,68.6,BRD
D246-Ol-8,1.62,0.97,0.66,1.39,0.01,0.01,0,3.03,67.9,BRD
Average,1.61,0.97,0.62,1.42,0.01,0.01,0,3.03,69.4,BRD
B326-Ol-1,1.72,0.99,0.87,1.14,0.01,0.01,0,3.01,56.6,BRD
B326-Ol-2,1.71,0.98,0.83,1.18,0.01,0.01,0,3.02,58.7,BRD
B326-Ol-3,1.72,0.98,0.85,1.17,0.01,0.01,0,3.02,57.7,BRD
B326-Ol-4,1.72,0.98,0.87,1.15,0.01,0.01,0,3.02,57,BRD
Average,1.72,0.98,0.86,1.16,0.01,0.01,0,3.02,57.5,BRD
E217-Ol-1,1.63,1,0.71,1.27,0.01,0.01,0,3,64.1,BRD
E217-Ol-2,1.63,0.99,0.7,1.3,0.01,0.01,0,3.01,64.9,BRD
E217-Ol-3,1.63,0.98,0.7,1.33,0.01,0.01,0,3.02,65.4,BRD
E217-Ol-4,1.64,0.99,0.71,1.3,0.01,0.01,0,3.01,64.8,BRD
E217-Ol-5,1.62,0.99,0.71,1.29,0.01,0.01,0,3.01,64.6,BRD
Average,1.63,0.99,0.71,1.3,0.01,0.01,0,3.01,64.7,BRD
E159A-Ol-1,1.68,0.98,0.83,1.17,0.01,0.01,0,3.02,58.4,BRD
E159A-Ol-2,1.65,0.98,0.74,1.27,0.01,0.01,0,3.02,63.1,BRD
E159A-Ol-3,1.64,0.98,0.74,1.28,0.01,0.01,0,3.02,63.2,BRD
E159A-Ol-4,1.72,0.98,0.92,1.09,0.01,0.01,0,3.02,54.3,BRD
E159A-Ol-5,1.75,0.99,1.09,0.9,0.02,0.02,0,3.01,45.2,BRD
E159A-Ol-6,1.72,0.98,1,1.01,0.02,0.01,0,3.02,50.4,BRD
E159A-Ol-7,1.71,0.99,1,0.99,0.02,0.01,0,3.01,49.6,BRD
E159A-Ol-8,1.72,0.99,1,1,0.02,0.01,0,3.01,50.2,BRD
E159A-Ol-9,1.74,0.99,1.07,0.92,0.02,0.01,0,3.01,46.4,BRD
Average,1.7,0.99,0.93,1.07,0.01,0.01,0,3.01,53.4,BRD
