AREA,PERIMETER,GEMGEOU_,GEMGEOU_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,GEOL_1,INTRP_DATE,BASIS1,BASIS2,MGSCODE,SYMBOL,MAPLABEL,UNIT_CODE,DESCRIPTN,REFRNCE,area_1
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634100","5241553","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,53681.086
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632916","5241480","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,413772.324
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633143","5241108","15",MGB,"19890000",OBI,OBS,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,249504.597
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632501","5239346","15",MGB,"19890000",OBI,OBS,"0","0",brod,bbr,Beaver River - oph ol gabbro,,160807.860
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633098","5241366","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,1017845.332
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","637959","5247155","15",MGB,"19890000",OBI,OBS,"0","0",sbpg,bsb,Silver Bay Intr - poik ol gab,,61085.372
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635510","5246490","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,7649.737
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635084","5246605","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,23984.814
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635331","5246413","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,8262.012
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632656","5243454","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,4114.481
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632927","5242146","15",MGB,"19890000",OBI,OBS,"0","0",sbgp,bsb,Silver Bay Intr - melanogp,,15613.984
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633006","5240148","15",MGB,"19890000",OBI,OBS,"0","0",nsbr,nswu,Silver Beaver rhyolite,,254978.693
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633888","5243549","15",MGB,"19890000",OBI,OBS,"0","0",nphr,nswu,Palisade Head porph rhyolite,,2205161.563
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","637778","5246418","15",MGB,"19890000",OBS,,"0","0",brdg,bbr,granitoid inclusion in brd,,6570.569
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","638449","5247926","15",MGB,"19890000",OBS,,"0","0",brda,bbr,anorthosite inclusion in brd,,10895.413
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","638447","5247791","15",MGB,"19890000",OBS,,"0","0",brda,bbr,anorthosite inclusion in brd,,6022.149
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","636671","5246639","15",MGB,"19890000",OBS,OBI,"0","0",nnob,nnu,NSVGn - ophitic basalt,,160143.897
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","637234","5246362","15",MGB,"19890000",OBS,OBI,"0","0",nnob,nnu,NSVGn - ophitic basalt,,36204.935
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","637394","5246353","15",MGB,"19890000",OBS,OBI,"0","0",nnr,nnu,NSVGn - rhyolite,,19822.681
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635542","5245973","15",MGB,"19890000",OBS,OBI,"0","0",nphr,nswu,Palisade Head porph rhyolite,,527829.336
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635077","5245028","15",MGB,"19890000",OBS,OBI,"0","0",nphr,nswu,Palisade Head porph rhyolite,,175425.285
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","636144","5244183","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,18267.210
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635384","5243592","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,32748.571
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634525","5243705","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,174117.157
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634685","5243129","15",MGB,"19890000",OBI,OBS,"0","0",nsbr,nswu,Silver Beaver rhyolite,,1098485.779
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632659","5239540","15",MGB,"19890000",OBI,OBS,"0","0",brdg,bbr,granitoid inclusion in brd,,5590.501
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632679","5239193","15",MGB,"19890000",OBI,OBS,"0","0",brdg,bbr,granitoid inclusion in brd,,11634.619
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","632676","5238902","15",MGB,"19890000",OBI,OBS,"0","0",brdg,bbr,granitoid inclusion in brd,,2822.223
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634133","5245645","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,139137.289
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","633563","5245738","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,115716.030
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634215","5246377","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,71091.934
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634752","5246604","15",MGB,"19890000",OBI,OBS,"0","0",nnob,nnu,NSVGn - ophitic basalt,,148907.473
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635518","5246821","15",MGB,"19890000",OBI,OBS,"0","0",brod,bbr,Beaver River - oph ol gabbro,,53117.123
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","634996","5246002","15",MGB,"19890000",OBI,OBS,"0","0",nnr,nnu,NSVGn - rhyolite,,42156.797
0.00000,0.00000,"0","0",,GU,AS,MGS,"20000630","635321","5246437","15",MGB,"19890000",OBI,OBS,"0","0",nnr,nnu,NSVGn - rhyolite,,23845.451
90952.02875,1435.16639,"0","0",,GU,AS,MGS,"20000630","638224","5247773","15",MGB,"19890000",OBS,,"0","0",nnb,nnu,NSVGn - basalt,,90952.028
252.48067,377.00679,"0","0",,GU,AS,MGS,"20000630","638119","5248060","15",MGB,"19890000",OBI,TOP,"0","0",sbg,bsb,Silver Bay Intr - decus gabbro,,252.480
64983.39873,1215.45568,"0","0",,GU,AS,MGS,"20000630","638392","5247774","15",MGB,"19890000",OBI,OBS,"0","0",brod,bbr,Beaver River - oph ol gabbro,,48859.111
281.20406,384.29942,"0","0",,GU,AS,MGS,"20000630","638338","5247867","15",MGB,"19890000",OBI,OBS,"0","0",brod,bbr,Beaver River - oph ol gabbro,,281.204
254.63296,702.14635,"0","0",,GU,AS,MGS,"20000630","638106","5247994","15",MGB,"19890000",OBS,,"0","0",nnob,nnu,NSVGn - ophitic basalt,,254.633
520.41239,1239.28602,"0","0",,GU,AS,MGS,"20000630","637896","5247575","15",MGB,"19890000",OBS,,"0","0",brod,bbr,Beaver River - oph ol gabbro,,520.413
