tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
BD14-2	BD14	0			Igneous:Intrusive	Diabase	Diabase		236.7	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD14-3	BD14	0			Igneous:Intrusive	Diabase	Diabase		333.7	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD14-4	BD14	0			Igneous:Intrusive	Diabase	Diabase		307.7	0.0	0	90.0	-85	This study	SO-CMD-NORTH	g	i
BD14-5	BD14	0			Igneous:Intrusive	Diabase	Diabase		252.2	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
BD14-6	BD14	0			Igneous:Intrusive	Diabase	Diabase		251.5	0.0	0	90.0	-50	This study	SO-CMD-NORTH	g	i
BD14-7	BD14	0			Igneous:Intrusive	Diabase	Diabase		270.8	0.0	0	90.0	-65	This study	SO-CMD-NORTH	g	i
BD14-8	BD14	0			Igneous:Intrusive	Diabase	Diabase		220.7	0.0	0	90.0	-52	This study	SO-CMD-NORTH	g	i
BD15-1	BD15	0			Igneous:Intrusive	Diabase	Diabase		249.7	0.0	0	90.0	-81	This study	SO-CMD-NORTH	g	i
BD15-2	BD15	0			Igneous:Intrusive	Diabase	Diabase		242.7	0.0	0	90.0	-85	This study	SO-CMD-NORTH	g	i
BD15-3	BD15	0			Igneous:Intrusive	Diabase	Diabase		244.7	0.0	0	90.0	-63	This study	SO-CMD-NORTH	g	i
BD15-4	BD15	0			Igneous:Intrusive	Diabase	Diabase		206.7	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD15-5	BD15	0			Igneous:Intrusive	Diabase	Diabase		204.7	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD15-6	BD15	0			Igneous:Intrusive	Diabase	Diabase		206.7	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD15-7	BD15	0			Igneous:Intrusive	Diabase	Diabase		204.7	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD15-8	BD15	0			Igneous:Intrusive	Diabase	Diabase		205.7	0.0	0	90.0	-73	This study	SO-CMD-NORTH	g	i
BD16-1	BD16	0			Igneous:Intrusive	Diabase	Diabase		350.8	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD16-2	BD16	0			Igneous:Intrusive	Diabase	Diabase		6.8	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD16-3	BD16	0			Igneous:Intrusive	Diabase	Diabase		193.8	0.0	0	90.0	-14	This study	SO-CMD-NORTH	g	i
BD16-4	BD16	0			Igneous:Intrusive	Diabase	Diabase		180.8	0.0	0	90.0	-11	This study	SO-CMD-NORTH	g	i
BD16-5	BD16	0			Igneous:Intrusive	Diabase	Diabase		321.8	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
BD16-6	BD16	0			Igneous:Intrusive	Diabase	Diabase		328.8	0.0	0	90.0	-20	This study	SO-CMD-NORTH	g	i
BD16-7	BD16	0			Igneous:Intrusive	Diabase	Diabase		135.8	0.0	0	90.0	-68	This study	SO-CMD-NORTH	g	i
BD16-8	BD16	0			Igneous:Intrusive	Diabase	Diabase		137.8	0.0	0	90.0	-68	This study	SO-CMD-NORTH	g	i
BD17-1	BD17	0			Igneous:Intrusive	Diabase	Diabase		108.2	0.0	0	90.0	-74	This study	SO-CMD-NORTH	g	i
BD17-2	BD17	0			Igneous:Intrusive	Diabase	Diabase		106.2	0.0	0	90.0	-74	This study	SO-CMD-NORTH	g	i
BD17-3	BD17	0			Igneous:Intrusive	Diabase	Diabase		125.2	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
BD17-4	BD17	0			Igneous:Intrusive	Diabase	Diabase		123.2	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
BD17-5	BD17	0			Igneous:Intrusive	Diabase	Diabase		126.2	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD17-6	BD17	0			Igneous:Intrusive	Diabase	Diabase		126.2	0.0	0	90.0	-61	This study	SO-CMD-NORTH	g	i
BD17-7	BD17	0			Igneous:Intrusive	Diabase	Diabase		116.2	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD17-8	BD17	0			Igneous:Intrusive	Diabase	Diabase		118.2	0.0	0	90.0	-64	This study	SO-CMD-NORTH	g	i
